summary_scope,group_type,group_value,feature,feature_stage,feature_type,unit,count,missing_rate,min,max,mean,std,p05,p50,p95,p99,baseline_filter,notes
all_rows,global,global,coolant_slope,deterministic,diff,degC/s,249575,0.000477,-1.000000,9.000000,0.018920,0.196251,0.000000,0.000000,0.000000,1.000000,all_rows,
all_rows,global,global,coolant_ambient_delta,deterministic,rowwise,degC,249599,0.000380,1.000000,108.000000,71.106222,19.209982,28.000000,72.000000,95.000000,99.000000,all_rows,
all_rows,global,global,coolant_stability,deterministic,rolling,degC,177727,0.288221,0.000000,4.879190,0.408925,0.442388,0.000000,0.423531,1.167353,2.341758,all_rows,
all_rows,global,global,intake_ambient_delta,deterministic,rowwise,degC,249600,0.000376,-43.000000,137.000000,9.189119,15.147480,1.000000,6.000000,20.000000,95.000000,all_rows,
all_rows,global,global,intake_temp_slope,deterministic,diff,degC/s,249557,0.000549,-96.000000,114.000000,0.006668,3.588126,-3.000000,0.000000,2.000000,4.000000,all_rows,
all_rows,global,global,maf_derived_air_load_raw,deterministic,raw_proxy,g/rev_proxy,249670,0.000096,0.000000,17240000.000000,2117.462036,74090.170587,0.468865,0.714663,1.753872,2.117947,all_rows,
all_rows,global,global,map_derived_air_load_raw,deterministic,raw_proxy,rpm*kPa/K,249674,0.000080,0.000000,2795.128774,689.914892,383.576373,256.706150,626.965209,1414.659638,1880.171185,all_rows,
all_rows,global,global,maf_map_cohesion,baseline_final,cohesion,zscore_abs_diff,249669,0.000100,0.000001,59117491.596362,7247.088210,253994.118190,0.057675,0.593553,2.163919,2.893374,all_rows,
all_rows,global,global,speed_density_maf_residual,baseline_final,residual,g/s,249669,0.000100,-33.123232,79.178345,1.998350,8.126648,-6.311188,-0.634093,15.403518,36.134265,all_rows,
all_rows,global,global,map_slope,deterministic,diff,kPa/s,249573,0.000485,-138.000000,135.000000,-0.016156,13.734987,-14.000000,0.000000,16.000000,46.000000,all_rows,
all_rows,global,global,map_stability,deterministic,rolling,kPa,220199,0.118125,0.000000,56.299853,17.854627,11.034937,2.591964,16.343168,38.211516,44.147474,all_rows,
all_rows,global,global,accel_pedal_mean,deterministic,rowwise,percent,249633,0.000244,14.100000,84.700000,21.839177,12.685019,14.300000,14.300000,48.650000,65.300000,all_rows,
all_rows,global,global,accel_pedal_channel_delta,deterministic,rowwise,percent,249633,0.000244,0.000000,63.500000,0.795367,2.275011,0.000000,0.400000,2.300000,10.404000,all_rows,
all_rows,global,global,accel_pedal_channel_ratio,deterministic,rowwise,ratio,249633,0.000244,0.181701,4.655172,0.986480,0.106306,0.965616,0.972414,1.026144,1.300000,all_rows,
all_rows,global,global,pedal_slope,deterministic,diff,percent/s,249516,0.000713,-63.700000,62.000000,0.000237,6.141482,-7.450000,0.000000,7.700000,20.200000,all_rows,
all_rows,global,global,engine_on_flag,deterministic,rowwise,flag,249687,0.000028,0.000000,1.000000,0.964856,0.184144,1.000000,1.000000,1.000000,1.000000,all_rows,
all_rows,global,global,rpm_slope,deterministic,diff,rpm/s,249569,0.000501,-2703.000000,3280.000000,0.001835,141.912937,-118.000000,0.000000,133.000000,527.000000,all_rows,
all_rows,global,global,idle_flag,deterministic,rowwise,flag,249694,0.000000,0.000000,1.000000,0.072757,0.259738,0.000000,0.000000,1.000000,1.000000,all_rows,
all_rows,global,global,idle_rpm_stability,deterministic,rolling,rpm,10467,0.958081,0.316228,563.387463,25.725252,61.317046,0.674949,1.490712,97.908395,347.213371,all_rows,
all_rows,global,global,segment_gap_seconds,deterministic,gap_proxy,s,80,0.999680,7.000000,16201416.000000,312794.937500,1818944.801102,6747.250000,40925.000000,404608.750000,5074511.690000,all_rows,
all_rows,global,global,cold_soak_candidate_flag,deterministic,rowwise,flag,37,0.999852,0.000000,1.000000,0.837838,0.373684,0.000000,1.000000,1.000000,1.000000,all_rows,
all_rows,global,global,intake_temp_stability,deterministic,rolling,degC,230047,0.078684,0.000000,36.628752,2.238997,3.109390,0.567231,1.534813,5.875481,18.632607,all_rows,
all_rows,thermal_state,engine_off,coolant_slope,deterministic,diff,degC/s,8736,0.004444,-1.000000,1.000000,0.001259,0.178073,0.000000,0.000000,0.000000,1.000000,all_rows,
all_rows,thermal_state,engine_off,coolant_ambient_delta,deterministic,rowwise,degC,8759,0.001823,1.000000,98.000000,65.169540,21.188718,24.000000,70.000000,92.000000,95.000000,all_rows,
all_rows,thermal_state,engine_off,coolant_stability,deterministic,rolling,degC,0,1.000000,,,,,,,,,all_rows,
all_rows,thermal_state,engine_off,intake_ambient_delta,deterministic,rowwise,degC,8759,0.001823,-43.000000,137.000000,75.904441,29.913301,2.000000,75.000000,119.000000,127.420000,all_rows,
all_rows,thermal_state,engine_off,intake_temp_slope,deterministic,diff,degC/s,8729,0.005242,-13.000000,114.000000,2.751632,15.468262,-5.000000,-1.000000,35.000000,76.000000,all_rows,
all_rows,thermal_state,engine_off,maf_derived_air_load_raw,deterministic,raw_proxy,g/rev_proxy,8766,0.001026,0.000000,17240000.000000,60187.089909,390875.170219,0.000000,0.000000,3.480000,1060500.000000,all_rows,
all_rows,thermal_state,engine_off,map_derived_air_load_raw,deterministic,raw_proxy,rpm*kPa/K,8771,0.000456,0.000000,7.535899,0.017875,0.311859,0.000000,0.000000,0.000000,0.000000,all_rows,
all_rows,thermal_state,engine_off,maf_map_cohesion,baseline_final,cohesion,zscore_abs_diff,8766,0.001026,0.123671,59117491.596362,206386.989812,1340345.650565,0.123671,0.123671,11.800201,3636548.598434,all_rows,
all_rows,thermal_state,engine_off,speed_density_maf_residual,baseline_final,residual,g/s,8766,0.001026,-20.487980,9.967737,-8.766143,0.875640,-9.327169,-9.044617,-6.715076,-5.060724,all_rows,
all_rows,thermal_state,engine_off,map_slope,deterministic,diff,kPa/s,8734,0.004672,-66.000000,84.000000,1.731166,9.301056,-1.000000,0.000000,14.000000,47.000000,all_rows,
all_rows,thermal_state,engine_off,map_stability,deterministic,rolling,kPa,0,1.000000,,,,,,,,,all_rows,
all_rows,thermal_state,engine_off,accel_pedal_mean,deterministic,rowwise,percent,8750,0.002849,14.100000,84.700000,14.460137,2.340964,14.300000,14.300000,14.500000,19.200000,all_rows,
all_rows,thermal_state,engine_off,accel_pedal_channel_delta,deterministic,rowwise,percent,8750,0.002849,0.000000,13.400000,0.391634,0.204053,0.400000,0.400000,0.400000,0.400000,all_rows,
all_rows,thermal_state,engine_off,accel_pedal_channel_ratio,deterministic,rowwise,ratio,8750,0.002849,0.512727,1.351724,0.974305,0.011971,0.972414,0.972414,1.000000,1.023207,all_rows,
all_rows,thermal_state,engine_off,pedal_slope,deterministic,diff,percent/s,8707,0.007749,-34.900000,28.000000,0.009889,0.861218,0.000000,0.000000,0.000000,0.200000,all_rows,
all_rows,thermal_state,engine_off,engine_on_flag,deterministic,rowwise,flag,8775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,all_rows,
all_rows,thermal_state,engine_off,rpm_slope,deterministic,diff,rpm/s,8732,0.004900,-868.000000,0.000000,-14.092419,85.121501,0.000000,0.000000,0.000000,0.000000,all_rows,
all_rows,thermal_state,engine_off,idle_flag,deterministic,rowwise,flag,8775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,all_rows,
all_rows,thermal_state,engine_off,idle_rpm_stability,deterministic,rolling,rpm,0,1.000000,,,,,,,,,all_rows,
all_rows,thermal_state,engine_off,segment_gap_seconds,deterministic,gap_proxy,s,35,0.996011,7039.000000,16201416.000000,611196.657143,2739147.287912,26840.400000,44717.000000,1297316.800000,11412621.740000,all_rows,
all_rows,thermal_state,engine_off,cold_soak_candidate_flag,deterministic,rowwise,flag,19,0.997835,0.000000,1.000000,0.947368,0.229416,0.900000,1.000000,1.000000,1.000000,all_rows,
all_rows,thermal_state,engine_off,intake_temp_stability,deterministic,rolling,degC,0,1.000000,,,,,,,,,all_rows,
all_rows,thermal_state,post_warmup,coolant_slope,deterministic,diff,degC/s,194380,0.000072,-1.000000,2.000000,0.006045,0.169975,0.000000,0.000000,0.000000,1.000000,all_rows,
